clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,included
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_NORM_SHIFT_R24,10.798860359411323,11.23658150891361,-0.4377211495022859,1.1622283714559725,1.5999495209582584,1.1622283714559725,2.3682386648929583,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_PPI_R27,10.882725760690525,11.23658150891361,-0.35385574822308463,1.2460937727351737,1.5999495209582584,1.2460937727351737,2.4346245790640415,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_A002_R27,10.80784589906101,11.23658150891361,-0.42873560985260006,1.1712139111056583,1.5999495209582584,1.1712139111056583,2.3760242464588797,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_A005_R27,10.820201347863502,11.23658150891361,-0.4163801610501068,1.1835693599081516,1.5999495209582584,1.1835693599081516,2.386466031098448,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_A010_R27,10.83794740255754,11.23658150891361,-0.39863410635606833,1.20131541460219,1.5999495209582584,1.20131541460219,2.4009293188642595,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_A015_R27,10.852369533402872,11.23658150891361,-0.3842119755107376,1.2157375454475208,1.5999495209582584,1.2157375454475208,2.412219627488697,True,False,True,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,cnb,9.63663198795535,11.23658150891361,-1.5999495209582584,0.0,1.5999495209582584,0.0,0.0,False,False,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.766130674099614,15.77230851609123,-4.006177841991617,2.2610265140996137,6.267204356091231,2.2610265140996137,23.228389539344292,True,False,True,True
