period,as_of,target_available_from,raw_core,error,core_weight,status,n_common_labels,basket_regime,basket_available_from,reconciliation_error,weight_actual_rent,weight_imputed_rent,weight_catering,weight_accommodation,weight_package_holidays
2015-02,2015-03-08 23:59:00,2015-03-09 09:00:00,,,,insufficient_history,0,,,,,,,,
2015-03,2015-04-08 23:59:00,2015-04-09 09:00:00,,,,insufficient_history,1,,,,,,,,
2015-04,2015-05-11 23:59:00,2015-05-12 09:00:00,,,,insufficient_history,2,,,,,,,,
2015-05,2015-06-08 23:59:00,2015-06-09 09:00:00,,,,insufficient_history,3,,,,,,,,
2015-06,2015-07-08 23:59:00,2015-07-09 09:00:00,,,,insufficient_history,4,,,,,,,,
2015-07,2015-08-09 23:59:00,2015-08-10 09:00:00,,,,insufficient_history,5,,,,,,,,
2015-08,2015-09-08 23:59:00,2015-09-09 09:00:00,,,,insufficient_history,6,,,,,,,,
2015-09,2015-10-08 23:59:00,2015-10-09 09:00:00,,,,insufficient_history,7,,,,,,,,
2015-10,2015-11-08 23:59:00,2015-11-09 09:00:00,,,,insufficient_history,8,,,,,,,,
2015-11,2015-12-08 23:59:00,2015-12-09 09:00:00,,,,insufficient_history,9,,,,,,,,
2015-12,2016-01-11 23:59:00,2016-01-12 09:00:00,,,,insufficient_history,10,,,,,,,,
2016-01,2016-02-11 23:59:00,2016-02-12 09:00:00,,,,insufficient_history,11,,,,,,,,
2016-02,2016-03-08 23:59:00,2016-03-09 09:00:00,,,,insufficient_history,12,,,,,,,,
2016-03,2016-04-10 23:59:00,2016-04-11 09:00:00,,,,insufficient_history,13,,,,,,,,
2016-04,2016-05-09 23:59:00,2016-05-10 09:00:00,,,,insufficient_history,14,,,,,,,,
2016-05,2016-06-08 23:59:00,2016-06-09 09:00:00,,,,insufficient_history,15,,,,,,,,
2016-06,2016-07-11 23:59:00,2016-07-12 09:00:00,,,,insufficient_history,16,,,,,,,,
2016-07,2016-08-08 23:59:00,2016-08-09 09:00:00,,,,insufficient_history,17,,,,,,,,
2016-08,2016-09-08 23:59:00,2016-09-09 09:00:00,,,,insufficient_history,18,,,,,,,,
2016-09,2016-10-09 23:59:00,2016-10-10 09:00:00,,,,insufficient_history,19,,,,,,,,
