period,legacy_base_error,matched_base_error,category_error
2015-04,0.2689489623065069,,
2015-05,0.8136044625977717,,
2015-06,-0.7017383653589992,,
2015-07,0.06120933809342463,,
2015-08,-0.027896929763810557,,
2015-09,0.10360787414559214,,
2015-10,0.3909911402435128,,
2015-11,-0.0539349086719746,,
2015-12,0.2490714350167911,,
2016-01,-0.1643984162567048,,
2016-02,0.04299423260218166,,
2016-03,-0.050371863249946136,,
2016-04,-0.049168809154972654,,
2016-05,0.12276424598176768,,
2016-06,-0.10130577669570323,,
2016-07,0.14641098687969617,,
2016-08,-0.11552329612651308,,
2016-09,0.09340591866251546,,
2016-10,0.35184331665075935,,
2016-11,0.022776545440693782,,
2016-12,0.32468333715961006,,
2017-01,0.2133331624363764,,
2017-02,0.01874172242658617,,
2017-03,-0.08588633039459906,,
2017-04,0.10248259840520041,,
2017-05,0.03381304428161394,,
2017-06,0.010618449070674454,,
2017-07,0.22329459864396306,,
2017-08,-0.06739107576237797,,
2017-09,0.19079151538306738,,
2017-10,0.11093975776486154,,
2017-11,-0.13765069446945885,,
2017-12,-0.24915301018069655,,
2018-01,-0.03370254283495355,,
2018-02,0.1612750140916144,,
2018-03,0.10776858596238872,,
2018-04,0.14676923536885111,,
2018-05,0.05320899070264026,,
2018-06,0.036362963675624915,,
2018-07,0.5286830269941503,,
2018-08,-0.1709282785510215,,
2018-09,-0.4537564351050295,,
2018-10,0.31244348775175934,,
2018-11,0.1481436573602214,,
2018-12,-0.07594281449568768,,
2019-01,0.40000630893392364,,
2019-02,-0.03183669054796212,-0.03183669054796212,-0.03856769759785328
2019-03,-0.14439918875041172,-0.14439918875041172,0.0017557250499804083
2019-04,0.03883335907885188,0.03883335907885188,0.04385706845769205
2019-05,-0.00239919131656198,-0.00239919131656198,-0.08377122305722282
2019-06,0.12702607775977587,0.12702607775977587,0.1287544465964946
2019-07,0.3365230533075251,0.3365230533075251,0.21609026223923855
2019-08,-0.055946585152321704,-0.055946585152321704,0.0679751070993807
2019-09,-0.38684479136961347,-0.38684479136961347,-0.2137299295069216
2019-10,0.3901452411440698,0.3901452411440698,0.19495965079160626
2019-11,-0.09913083335455766,-0.09913083335455766,-0.08911540960792114
2019-12,0.002824932958029505,0.002824932958029505,-0.1686492841943993
2020-01,0.4451815585222024,0.4451815585222024,0.3680376029090877
2020-02,0.32090763249841203,0.32090763249841203,0.40773335038107333
2020-03,-0.316603775443102,-0.316603775443102,-0.11445639644733796
2020-04,0.031194942922302876,0.031194942922302876,-0.06983559402042605
2020-05,0.4666361996766699,0.4666361996766699,0.604117646769407
2020-06,-0.049552591682874736,-0.049552591682874736,0.3554320691221482
2020-07,0.48804246051008593,0.48804246051008593,0.49680145215020466
2020-08,-0.24061783545793758,-0.24061783545793758,-0.20028512337357962
2020-09,-0.031783816293523115,-0.031783816293523115,0.05101798606037988
2020-10,0.2421866164014742,0.2421866164014742,0.0735661077143891
2020-11,-0.21185954508843222,-0.21185954508843222,-0.03121632066750538
2020-12,-0.2589330381468633,-0.2589330381468633,-0.20686284548276843
2021-01,0.29928685273828726,0.29928685273828726,0.24841437492894647
2021-02,-0.331489229453551,-0.331489229453551,-0.21063417044635807
2021-03,-0.05088978507433878,-0.05088978507433878,-0.014230712715000232
2021-04,0.04334771184263586,0.04334771184263586,-0.0366187303662428
2021-05,-0.17567499242289075,-0.17567499242289075,0.04111567382136844
2021-06,0.4900027018272657,0.4900027018272657,0.5486049075585555
2021-07,0.4206346319816754,0.4206346319816754,0.36328631687622326
2021-08,0.5675380372421703,0.5675380372421703,0.6401228096735199
2021-09,0.35978425217686644,0.35978425217686644,0.5039029794653367
2021-10,0.5247225658786931,0.5247225658786931,0.2464578271952269
2021-11,0.4288775847689814,0.4288775847689814,0.4481340278878464
2021-12,-0.47706122262653117,-0.47706122262653117,-0.046074291505579734
2022-01,0.5462196791874325,0.5462196791874325,0.7398509215096245
2022-02,-0.17379016172137962,-0.17379016172137962,-0.07283366568171845
2022-03,0.6041671072553615,0.6041671072553615,0.3166113072014296
2022-04,0.49441584867626753,0.49441584867626753,0.6561282243197296
2022-05,-0.46235065816294996,-0.46235065816294996,0.2325300689786527
2022-06,0.07450379838238019,0.07450379838238019,0.05847971239221117
2022-07,-0.5547865104837304,-0.5547865104837304,-0.27067344483488154
2022-08,-0.566364209637681,-0.566364209637681,0.10686551750495843
2022-09,-0.2513603101521014,-0.2513603101521014,0.31450007595551954
2022-10,-0.3326536136067948,-0.3326536136067948,-0.013716003266915688
2022-11,-0.5828999035112025,-0.5828999035112025,-0.3864130067686332
2022-12,-0.18565974489617776,-0.18565974489617776,-0.22196054607069182
2023-01,-0.20643337076752344,-0.20643337076752344,0.038337097174965584
2023-02,0.002765811374550342,0.002765811374550342,0.25698373883416453
2023-03,-0.14649621492575932,-0.14649621492575932,0.057214948779286956
2023-04,-0.6660660191853509,-0.6660660191853509,-0.4525774795238234
2023-05,-0.3194561408252914,-0.3194561408252914,-0.2168772608795387
2023-06,0.2210686379018334,0.2210686379018334,0.07309118497036587
2023-07,0.07430930966524829,0.07430930966524829,0.006793571390707354
2023-08,-0.42490659275678627,-0.42490659275678627,-0.09561906101738021
2023-09,-0.4198785292660226,-0.4198785292660226,-0.13307435840727128
2023-10,-0.36790911807222254,-0.36790911807222254,-0.3054995827051619
2023-11,-0.1878983472942761,-0.1878983472942761,0.0825456481367841
2023-12,-0.3003725255406773,-0.3003725255406773,-0.22135464691009943
2024-01,-0.0970590294270835,-0.0970590294270835,-0.3125547143939557
2024-02,0.3032317904717237,0.3032317904717237,0.32860611349424484
2024-03,-0.029396847948788052,-0.029396847948788052,0.0996749768533745
2024-04,-0.35784912672358027,-0.35784912672358027,-0.2637444176495449
2024-05,0.021124606211490288,0.021124606211490288,-0.02967750308613848
2024-06,-0.19151266520235175,-0.19151266520235175,-0.24018910195109602
2024-07,0.5651514205844965,0.5651514205844965,0.2113192183601501
2024-08,-0.1696092914062836,-0.1696092914062836,-0.0861602471921471
2024-09,-0.352394996084161,-0.352394996084161,-0.13220304328122423
2024-10,0.18843852018226045,0.18843852018226045,-0.047413250038162436
2024-11,0.012476026788282607,0.012476026788282607,0.007399531920091521
2024-12,-0.11906820133351732,-0.11906820133351732,-0.05134126380491573
2025-01,0.22387281319176183,0.22387281319176183,0.0991349539606905
2025-02,0.09881070809871118,0.09881070809871118,0.04335941817258471
2025-03,-0.16547926241344665,-0.16547926241344665,-0.10827667720123395
2025-04,-0.06937392714839424,-0.06937392714839424,-0.13287328695905815
2025-05,0.1712887562016764,0.1712887562016764,0.03727085122871926
2025-06,0.12258731907369222,0.12258731907369222,0.05554152399113724
2025-07,0.10726875605778685,0.10726875605778685,-0.11725423145347935
2025-08,0.008773012640071687,0.008773012640071687,0.06789010755110941
2025-09,-0.20177337977812226,-0.20177337977812226,-0.15547170375559494
2025-10,0.11109260680053507,0.11109260680053507,-0.06961856631376162
2025-11,-0.06963799180582797,-0.06963799180582797,-0.10482888709958149
2025-12,0.18507143639085485,0.18507143639085485,0.2018863188983779
2026-01,-0.016134595906312277,-0.016134595906312277,-0.12603759689905747
2026-02,0.09643960503921889,0.09643960503921889,0.05285304229146909
