period,as_of,raw_core,error
2019-02,2019-03-10 23:59:00,0.3318366905479621,-0.03183669054796212
2019-03,2019-04-09 23:59:00,0.04439918875041172,-0.14439918875041172
2019-04,2019-05-12 23:59:00,0.36116664092114814,0.03883335907885188
2019-05,2019-06-10 23:59:00,0.10239919131656199,-0.00239919131656198
2019-06,2019-07-10 23:59:00,0.17297392224022412,0.12702607775977587
2019-07,2019-08-11 23:59:00,0.6634769466924749,0.3365230533075251
2019-08,2019-09-09 23:59:00,0.2559465851523217,-0.055946585152321704
2019-09,2019-10-09 23:59:00,-0.5131552086303866,-0.38684479136961347
2019-10,2019-11-10 23:59:00,0.20985475885593016,0.3901452411440698
2019-11,2019-12-09 23:59:00,0.09913083335455766,-0.09913083335455766
2019-12,2020-01-12 23:59:00,0.0971750670419705,0.002824932958029505
2020-01,2020-02-13 23:59:00,0.3548184414777976,0.4451815585222024
2020-02,2020-03-09 23:59:00,0.3790923675015879,0.32090763249841203
2020-03,2020-04-13 23:59:00,0.016603775443101973,-0.316603775443102
2020-04,2020-05-12 23:59:00,0.16880505707769713,0.031194942922302876
2020-05,2020-06-09 23:59:00,0.23336380032333004,0.4666361996766699
2020-06,2020-07-09 23:59:00,0.5495525916828747,-0.049552591682874736
2020-07,2020-08-12 23:59:00,0.711957539489914,0.48804246051008593
2020-08,2020-09-09 23:59:00,0.24061783545793758,-0.24061783545793758
2020-09,2020-10-11 23:59:00,-0.7682161837064769,-0.031783816293523115
2020-10,2020-11-09 23:59:00,0.2578133835985258,0.2421866164014742
2020-11,2020-12-09 23:59:00,0.21185954508843222,-0.21185954508843222
2020-12,2021-01-12 23:59:00,0.2589330381468633,-0.2589330381468633
2021-01,2021-02-11 23:59:00,0.4007131472617127,0.29928685273828726
2021-02,2021-03-09 23:59:00,0.631489229453551,-0.331489229453551
2021-03,2021-04-12 23:59:00,-0.14911021492566123,-0.05088978507433878
2021-04,2021-05-10 23:59:00,0.25665228815736413,0.04334771184263586
2021-05,2021-06-09 23:59:00,0.5756749924228908,-0.17567499242289075
2021-06,2021-07-12 23:59:00,0.40999729817273434,0.4900027018272657
2021-07,2021-08-09 23:59:00,1.0793653680183246,0.4206346319816754
2021-08,2021-09-09 23:59:00,0.4324619627578296,0.5675380372421703
2021-09,2021-10-10 23:59:00,-0.15978425217686643,0.35978425217686644
2021-10,2021-11-09 23:59:00,0.7752774341213069,0.5247225658786931
2021-11,2021-12-09 23:59:00,0.6711224152310187,0.4288775847689814
2021-12,2022-01-11 23:59:00,1.2770612226265312,-0.47706122262653117
2022-01,2022-02-13 23:59:00,1.1537803208125674,0.5462196791874325
2022-02,2022-03-09 23:59:00,1.0737901617213796,-0.17379016172137962
2022-03,2022-04-10 23:59:00,0.09583289274463844,0.6041671072553615
2022-04,2022-05-09 23:59:00,1.0055841513237325,0.49441584867626753
