period,post_warmup,big
2019-02,False,False
2019-03,False,False
2019-04,False,False
2019-05,False,False
2019-06,False,False
2019-07,False,False
2019-08,False,False
2019-09,False,False
2019-10,False,False
2019-11,False,False
2019-12,False,False
2020-01,False,True
2020-02,False,False
2020-03,False,False
2020-04,False,False
2020-05,False,False
2020-06,False,True
2020-07,False,False
2020-08,False,False
2020-09,False,False
2020-10,False,False
2020-11,False,False
2020-12,False,False
2021-01,False,True
2021-02,False,False
2021-03,False,False
2021-04,False,False
2021-05,False,False
2021-06,False,False
2021-07,False,True
2021-08,False,True
2021-09,False,True
2021-10,False,False
2021-11,False,False
2021-12,False,False
2022-01,False,True
2022-02,False,True
2022-03,False,False
2022-04,False,True
2022-05,False,True
2022-06,True,False
2022-07,True,False
2022-08,True,True
2022-09,True,True
2022-10,True,True
2022-11,True,True
2022-12,True,True
2023-01,True,False
2023-02,True,False
2023-03,True,False
2023-04,True,True
2023-05,True,False
2023-06,True,False
2023-07,True,False
2023-08,True,False
2023-09,True,True
2023-10,True,False
2023-11,True,False
2023-12,True,True
2024-01,True,True
2024-02,True,False
2024-03,True,False
2024-04,True,True
2024-05,True,False
2024-06,True,True
2024-07,True,False
2024-08,True,False
2024-09,True,False
2024-10,True,False
2024-11,True,False
2024-12,True,True
2025-01,True,False
2025-02,True,False
2025-03,True,False
2025-04,True,False
2025-05,True,False
2025-06,True,False
2025-07,True,False
2025-08,True,False
2025-09,True,False
2025-10,True,False
2025-11,True,True
2025-12,True,False
2026-01,True,False
2026-02,True,False
2026-03,True,False
2026-04,True,False
2026-05,True,False
2026-06,True,False
2026-07,True,False
