period,R9_BASE,R9_HALF,R9_FULL,CATEGORY_RAW,CATEGORY_HALF_CORRECTION,CATEGORY_FULL_CORRECTION,BASE_MATCHED_HALF,BASE_MATCHED_FULL
2019-02,0.31775488058818213,0.3457208529825975,0.3736868253770129,0.3214390864645076,0.3214390864645076,0.3214390864645076,0.31775488058818213,0.31775488058818213
2019-03,0.09946023954165717,0.09481364394484938,0.0901670483480416,0.018810227797368066,0.018810227797368066,0.018810227797368066,0.09946023954165717,0.09946023954165717
2019-04,0.38710754867430486,0.4331530262959052,0.4791985039175055,0.3843414177863059,0.3843414177863059,0.3843414177863059,0.38710754867430486,0.38710754867430486
2019-05,0.2254766707170906,0.24160405653897696,0.2577314423608633,0.2703047338042085,0.2703047338042085,0.2703047338042085,0.2254766707170906,0.2254766707170906
2019-06,0.12410329846284626,0.07361655119089941,0.02312980391895257,0.12315035846394702,0.12315035846394702,0.12315035846394702,0.12410329846284626,0.12410329846284626
2019-07,0.435229027763851,0.4401493662832389,0.4450697048026269,0.5016039569149744,0.5016039569149744,0.5016039569149744,0.435229027763851,0.435229027763851
2019-08,0.07212027168892293,0.08632839290472513,0.10053651412052733,0.003901984150030527,0.003901984150030527,0.003901984150030527,0.07212027168892293,0.07212027168892293
2019-09,-0.3115374275151629,-0.31736840944316663,-0.3231993913711704,-0.4067800328746164,-0.4067800328746164,-0.4067800328746164,-0.3115374275151629,-0.3115374275151629
2019-10,0.22940611674544503,0.28517471091363017,0.3409433050818153,0.3371197444307257,0.3371197444307257,0.3371197444307257,0.22940611674544503,0.22940611674544503
2019-11,0.16027885730460945,0.18827727179203121,0.21627568627945298,0.15476450183810875,0.15476450183810875,0.15476450183810875,0.16027885730460945,0.16027885730460945
2019-12,0.015134052299833604,0.015041241673181452,0.014948431046529301,0.10940964852952717,0.10940964852952717,0.10940964852952717,0.015134052299833604,0.015134052299833604
2020-01,0.8910783646002834,0.9161045016767744,0.9411306387532653,0.9334732469382441,0.9334732469382441,0.9334732469382441,0.8910783646002834,0.8910783646002834
2020-02,0.3016255681785912,0.32068032834451476,0.3397350885104384,0.2538713185262529,0.2538713185262529,0.2538713185262529,0.3016255681785912,0.3016255681785912
2020-03,-0.2620574219510465,-0.25946905877354964,-0.2568806955960528,-0.37323872443305345,-0.37323872443305345,-0.37323872443305345,-0.2620574219510465,-0.2620574219510465
2020-04,-0.31758186237127,-0.31591219209715493,-0.31424252182303986,-0.2620149450876949,-0.2620149450876949,-0.2620149450876949,-0.31758186237127,-0.31758186237127
2020-05,0.1755417858910625,0.17193851305540414,0.16833524021974577,0.09008321485468743,0.09008321485468743,0.09008321485468743,0.1755417858910625,0.1755417858910625
