period,as_of,block,weight,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2019-09,2019-10-09 23:59:00,catering,0.051351304,0.4389004229738527,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,accommodation,0.007778524,-0.7290902548883709,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,package_holidays,0.019182249,-22.189708430442895,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,remaining_core_tax_reconciliation,1.0,-0.014793483986488675,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,actual_rent,0.033660201,0.16025918594499955,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,imputed_rent,0.10385733600000001,0.42667384743218106,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,catering,0.051351304,0.3653410281042395,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,accommodation,0.007778524,-0.6897143989495029,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,package_holidays,0.019182249,-1.2766637710167106,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,remaining_core_tax_reconciliation,1.0,0.1849084091603905,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,actual_rent,0.033660201,0.15664592032741967,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,imputed_rent,0.10385733600000001,0.24588995810603828,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,catering,0.051351304,0.3978964136495772,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,accommodation,0.007778524,-0.9077718590731341,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,package_holidays,0.019182249,0.7509083554121048,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,remaining_core_tax_reconciliation,1.0,-0.009519967839197091,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,actual_rent,0.033660201,0.12446162594301678,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,imputed_rent,0.10385733600000001,0.5895190137323756,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,catering,0.051351304,0.8922345484113903,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,accommodation,0.007778524,0.26637986280706394,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,package_holidays,0.019182249,0.37551444005536916,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,remaining_core_tax_reconciliation,1.0,0.02719398316735676,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,actual_rent,0.033660201,0.31550295758720803,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,imputed_rent,0.10385733600000001,0.30262216733513664,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,catering,0.051351304,0.3688034108897282,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,accommodation,0.007778524,-0.30306326369332726,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,package_holidays,0.019182249,8.463180039123273,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,remaining_core_tax_reconciliation,1.0,0.016413892531135114,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,actual_rent,0.036321093,0.5550418474977585,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,imputed_rent,0.106143269,-0.08945242707994938,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,catering,0.054804978,0.2698653816833104,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,accommodation,0.008724414,0.09385212043222221,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,package_holidays,0.019151497,5.131546396909104,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.036196490100713366,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,actual_rent,0.036321093,0.16027110125910526,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,imputed_rent,0.106143269,-0.09911970992924501,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,catering,0.054804978,0.4014377282795242,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,accommodation,0.008724414,0.788210670839053,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,package_holidays,0.019151497,-8.36114265746586,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,remaining_core_tax_reconciliation,1.0,0.0339013989588028,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,actual_rent,0.036321093,0.09662564636519064,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,imputed_rent,0.106143269,0.26250860801431863,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,catering,0.054804978,0.2287791583085442,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,accommodation,0.008724414,1.3735481832514207,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,package_holidays,0.019151497,-2.169431004749655,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,remaining_core_tax_reconciliation,1.0,0.13406304321794482,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,actual_rent,0.036321093,0.26568297312580025,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,imputed_rent,0.106143269,0.298737592912543,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,catering,0.054804978,0.30395509063869436,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,accommodation,0.008724414,0.4477719869851634,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,package_holidays,0.019151497,-0.7054229419070064,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.011186767415361683,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,actual_rent,0.036321093,0.34464794526608744,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,imputed_rent,0.106143269,0.036982422302715035,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,catering,0.054804978,0.08939259918337075,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,accommodation,0.008724414,0.2727279457452187,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
