period,as_of,family,core_correction,policy,n_errors,error_end,status,fallback_used,quantile_weights,error_start,validation_rows,training_last_release,eligible_error_months,feature_columns
2019-02,2019-03-10 23:59:00,BASE_LEGACY,0.10218710010398128,hard,46,2019-01,ok,False,"{0.1: 0.0, 0.25: 0.329, 0.5: 0.321, 0.75: 0.35, 0.9: 0.0}",2015-04,9,2019-02-13 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-02,2019-03-10 23:59:00,BASE_MATCHED,0.0,hard,0,,insufficient_errors,True,,,0,,,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-02,2019-03-10 23:59:00,CATEGORY,0.0,hard,0,,insufficient_errors,True,,,0,,,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-03,2019-04-09 23:59:00,BASE_LEGACY,-0.016841231990640426,hard,47,2019-02,ok,False,"{0.1: 0.0, 0.25: 0.277, 0.5: 0.373, 0.75: 0.35, 0.9: 0.0}",2015-04,9,2019-03-11 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-03,2019-04-09 23:59:00,BASE_MATCHED,0.0,hard,1,2019-02,insufficient_errors,True,,2019-02,0,2019-03-11 09:00:00,2019-02,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-03,2019-04-09 23:59:00,CATEGORY,0.0,hard,1,2019-02,insufficient_errors,True,,2019-02,0,2019-03-11 09:00:00,2019-02,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-04,2019-05-12 23:59:00,BASE_LEGACY,0.16725101388686947,hard,48,2019-03,ok,False,"{0.1: 0.0, 0.25: 0.231, 0.5: 0.5, 0.75: 0.269, 0.9: 0.0}",2015-04,9,2019-04-10 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-04,2019-05-12 23:59:00,BASE_MATCHED,0.0,hard,2,2019-03,insufficient_errors,True,,2019-02,0,2019-04-10 09:00:00,2019-02|2019-03,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-04,2019-05-12 23:59:00,CATEGORY,0.0,hard,2,2019-03,insufficient_errors,True,,2019-02,0,2019-04-10 09:00:00,2019-02|2019-03,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-05,2019-06-10 23:59:00,BASE_LEGACY,0.05854895619478761,hard,49,2019-04,ok,False,"{0.1: 0.15, 0.25: 0.35, 0.5: 0.35, 0.75: 0.15, 0.9: 0.0}",2015-04,9,2019-05-13 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-05,2019-06-10 23:59:00,BASE_MATCHED,0.0,hard,3,2019-04,insufficient_errors,True,,2019-02,0,2019-05-13 09:00:00,2019-02|2019-03|2019-04,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-05,2019-06-10 23:59:00,CATEGORY,0.0,hard,3,2019-04,insufficient_errors,True,,2019-02,0,2019-05-13 09:00:00,2019-02|2019-03|2019-04,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-06,2019-07-10 23:59:00,BASE_LEGACY,-0.1831379116270146,hard,50,2019-05,ok,False,"{0.1: 0.15, 0.25: 0.35, 0.5: 0.35, 0.75: 0.15, 0.9: 0.0}",2015-04,10,2019-06-11 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-06,2019-07-10 23:59:00,BASE_MATCHED,0.0,hard,4,2019-05,insufficient_errors,True,,2019-02,0,2019-06-11 09:00:00,2019-02|2019-03|2019-04|2019-05,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-06,2019-07-10 23:59:00,CATEGORY,0.0,hard,4,2019-05,insufficient_errors,True,,2019-02,0,2019-06-11 09:00:00,2019-02|2019-03|2019-04|2019-05,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-07,2019-08-11 23:59:00,BASE_LEGACY,0.017855238671261577,hard,51,2019-06,ok,False,"{0.1: 0.055, 0.25: 0.295, 0.5: 0.5, 0.75: 0.15, 0.9: 0.0}",2015-04,10,2019-07-11 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-07,2019-08-11 23:59:00,BASE_MATCHED,0.0,hard,5,2019-06,insufficient_errors,True,,2019-02,0,2019-07-11 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-07,2019-08-11 23:59:00,CATEGORY,0.0,hard,5,2019-06,insufficient_errors,True,,2019-02,0,2019-07-11 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-08,2019-09-09 23:59:00,BASE_LEGACY,0.05161942606007876,hard,52,2019-07,ok,False,"{0.1: 0.0, 0.25: 0.15, 0.5: 0.483, 0.75: 0.35, 0.9: 0.017}",2015-04,10,2019-08-12 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-08,2019-09-09 23:59:00,BASE_MATCHED,0.0,hard,6,2019-07,insufficient_errors,True,,2019-02,0,2019-08-12 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-08,2019-09-09 23:59:00,CATEGORY,0.0,hard,6,2019-07,insufficient_errors,True,,2019-02,0,2019-08-12 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-09,2019-10-09 23:59:00,BASE_LEGACY,-0.02119701843897588,hard,53,2019-08,ok,False,"{0.1: 0.0, 0.25: 0.167, 0.5: 0.5, 0.75: 0.333, 0.9: 0.0}",2015-04,10,2019-09-10 09:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-09,2019-10-09 23:59:00,BASE_MATCHED,0.0,hard,7,2019-08,insufficient_errors,True,,2019-02,0,2019-09-10 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
2019-09,2019-10-09 23:59:00,CATEGORY,0.0,hard,7,2019-08,insufficient_errors,True,,2019-02,0,2019-09-10 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,eurczk_mm|services_l1|import_l2|core_l1|core_l2|core_l12|state|eurczk_mm_x_state|import_l2_x_state|mon_2|mon_3|mon_4|mon_5|mon_6|mon_7|mon_8|mon_9|mon_10|mon_11|mon_12
