month,vehicle_operation
2015-01,99.900000000000006
2015-02,97.299999999999997
2015-03,100.09999999999999
2015-04,101.2
2015-05,102.8
2015-06,103.40000000000001
2015-07,103.40000000000001
2015-08,102.3
2015-09,100
2015-10,98
2015-11,96.400000000000006
2015-12,95
2016-01,92.900000000000006
2016-02,90.599999999999994
2016-03,90.5
2016-04,92.299999999999997
2016-05,94.400000000000006
2016-06,97
2016-07,96.799999999999997
2016-08,95.5
2016-09,95.799999999999997
2016-10,96.599999999999994
2016-11,96.799999999999997
2016-12,98.299999999999997
2017-01,100.59999999999999
2017-02,101.40000000000001
2017-03,101.09999999999999
2017-04,101
2017-05,100.3
2017-06,98.900000000000006
2017-07,97.5
2017-08,97.599999999999994
2017-09,98.599999999999994
2017-10,99.200000000000003
2017-11,100.2
2017-12,100.2
2018-01,101.09999999999999
2018-02,101.3
2018-03,100.8
2018-04,101.8
2018-05,104.5
2018-06,106.7
2018-07,106.7
2018-08,106.7
2018-09,107.2
2018-10,108.2
2018-11,108
2018-12,105.5
2019-01,103.5
2019-02,103
2019-03,103.90000000000001
2019-04,106.59999999999999
2019-05,108.40000000000001
2019-06,108.40000000000001
2019-07,107.59999999999999
2019-08,107.40000000000001
2019-09,107.2
2019-10,107.40000000000001
2019-11,107.09999999999999
2019-12,106.90000000000001
2020-01,108
2020-02,107.09999999999999
2020-03,103.40000000000001
2020-04,96.400000000000006
2020-05,94.900000000000006
2020-06,96.700000000000003
2020-07,99.599999999999994
2020-08,99.900000000000006
2020-09,99.5
2020-10,100
2020-11,99.799999999999997
2020-12,100.5
2021-01,101
2021-02,102.2
2021-03,105.90000000000001
2021-04,108
2021-05,109
2021-06,110.3
2021-07,112.7
2021-08,113.5
2021-09,114.2
2021-10,118.7
2021-11,122.3
2021-12,121
2022-01,122.2
2022-02,125.5
2022-03,142.40000000000001
2022-04,140.09999999999999
2022-05,143.59999999999999
2022-06,147.59999999999999
2022-07,148
2022-08,138.80000000000001
2022-09,135.90000000000001
2022-10,140.80000000000001
2022-11,139.40000000000001
2022-12,130.5
2023-01,130.5
2023-02,132.09999999999999
2023-03,131.09999999999999
2023-04,130.90000000000001
2023-05,128.09999999999999
2023-06,128.5
2023-07,129.90000000000001
2023-08,135.5
2023-09,137.80000000000001
2023-10,137.69999999999999
2023-11,135.40000000000001
2023-12,131.69999999999999
2024-01,132.19999999999999
2024-02,136.40000000000001
2024-03,140.69999999999999
2024-04,143.30000000000001
2024-05,141.69999999999999
2024-06,138.40000000000001
2024-07,139.80000000000001
2024-08,137.90000000000001
2024-09,134
2024-10,133.80000000000001
2024-11,134.59999999999999
2024-12,134.90000000000001
2025-01,137.09999999999999
2025-02,137.90000000000001
2025-03,135.30000000000001
2025-04,133.19999999999999
2025-05,131.69999999999999
2025-06,132.59999999999999
2025-07,133.90000000000001
2025-08,133.19999999999999
2025-09,132.69999999999999
2025-10,132.80000000000001
2025-11,134.09999999999999
2025-12,132.80000000000001
2026-01,131.80000000000001
2026-02,132.90000000000001
2026-03,148.80000000000001
2026-04,155.90000000000001
2026-05,155.19999999999999
2026-06,147.09999999999999
2026-07,150.5
