origin,as_of,model,variable,h,target,forecast,actual,n_distinct_ulc_quarters
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,6,2019-08,0.5554553974074643,0.35074947173668564,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,7,2019-09,0.3859597830222873,0.17582517197236935,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,8,2019-10,0.4204164072379496,0.3448667160087161,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,9,2019-11,0.272221858858057,0.3005378397357509,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,10,2019-12,0.39739897016369374,0.21452218234910173,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,11,2020-01,0.4532786467420817,0.6645851892867825,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,housing,12,2020-02,0.28232639529590486,0.09318915007887857,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,1,2019-03,2.0111101843270953,2.1,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,2,2019-04,2.0017978846413587,2.1,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,3,2019-05,1.996982164294813,2.1,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,4,2019-06,1.9881605140396674,1.7,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,5,2019-07,1.9802028602046828,2.1,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,6,2019-08,1.9738926603030933,2.1,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,7,2019-09,1.968277283664634,2.1,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,8,2019-10,1.9631052225124404,2.2,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,9,2019-11,1.9583545493506398,2.2,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,10,2019-12,1.9539940356836045,1.9,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,11,2020-01,1.9499403951639755,2.0,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,unemployment,12,2020-02,1.9461599682825081,1.8,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,1,2019-03,6.756586594075545,4.6071350406398865,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,2,2019-04,6.676434562323038,4.6071350406398865,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,3,2019-05,6.613979163805574,4.6071350406398865,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,4,2019-06,6.556285341154809,4.415728404109843,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,5,2019-07,6.519096514851123,4.415728404109843,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,6,2019-08,6.485293565099999,4.415728404109843,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,7,2019-09,6.453365763607891,2.59169435352289,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,8,2019-10,6.424714467240132,2.59169435352289,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,9,2019-11,6.398885216531496,2.59169435352289,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,10,2019-12,6.375349752622838,3.5392433935797647,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,11,2020-01,6.353923729596027,3.5392433935797647,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ulc,12,2020-02,6.3344738131208125,3.5392433935797647,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,1,2019-03,0.7559402984192456,-0.9413606781315533,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,2,2019-04,0.6106321550828635,2.1621937407287026,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,3,2019-05,0.6583620032181973,3.7477017287150116,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,4,2019-06,0.6396093542346245,-1.2466456603078881,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,5,2019-07,0.636006726264768,-2.7239000082272558,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,6,2019-08,0.6304277102474553,-4.14001522094598,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,7,2019-09,0.6275557960012424,0.6285163369097494,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,8,2019-10,0.6215452830566739,0.7170764782026184,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,9,2019-11,0.6183215427674473,-1.31103170949749,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,10,2019-12,0.615854464076764,-1.57021937079139,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,11,2020-01,0.6140499964787641,-0.7493887563402316,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,ip,12,2020-02,0.612391119302963,2.160064412951132,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,1,2019-03,0.09191982180569372,-0.10005003335835334,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,2,2019-04,0.45863972640615946,0.39920212695374535,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,3,2019-05,0.21135492006564355,0.09995003330835331,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,4,2019-06,0.1621915912164812,0.2995508979798479,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,5,2019-07,0.6706024851559379,0.9950330853168083,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,6,2019-08,0.10260097225879694,0.19980026626730563,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,7,2019-09,-0.42556671537162616,-0.9040744652149064,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,8,2019-10,0.4999595986810931,0.5982071677547464,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,9,2019-11,0.026884288377060583,0.0,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,10,2019-12,0.30948265453592627,0.09995003330835331,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,11,2020-01,0.3350123815109961,0.7968169649176874,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,core,12,2020-02,0.39535413232902344,0.6975613736425241,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,1,2019-03,0.08658365635351761,0.16120258491509215,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,2,2019-04,-0.012570027035902515,-0.10363695164025208,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,3,2019-05,0.10565734336191121,0.1411600429064864,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,4,2019-06,-0.07330751306018166,-0.17242476749917018,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,5,2019-07,-0.20960379375696564,-0.21873545807986225,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,6,2019-08,-0.3877291686989172,-0.5657477214436157,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,7,2019-09,0.042456604635537104,0.013854310253109643,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,8,2019-10,0.16932615586238137,0.9850870068147518,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,9,2019-11,-0.15240472424818183,-0.3275115074989824,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,10,2019-12,-0.4850019723302077,-0.24564891851341536,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,11,2020-01,0.04041404938969201,0.45485888323201334,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,goods,12,2020-02,0.01357631412501037,0.5080515109728511,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,1,2019-03,0.4952193258655584,-0.10005003335834764,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,2,2019-04,0.05839955591211038,0.5982071677547407,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,3,2019-05,0.44715279813323794,0.29955089797984497,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,4,2019-06,0.14830537606186714,-1.4098924379501692,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,5,2019-07,-0.057078160229057956,-0.40080213975388745,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,6,2019-08,-0.20727148164514114,0.49875415110390736,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,7,2019-09,0.02334724694682702,0.29955089797984497,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,8,2019-10,0.31064355256309883,-0.40080213975388745,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,9,2019-11,0.10168232097409569,-0.20020026706731053,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,10,2019-12,0.8538296205292322,-0.3004509020298693,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,11,2020-01,-0.24923985016674136,-0.8032171697264232,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,imports,12,2020-02,-0.24915574568102197,-1.308523954865544,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,1,2019-03,0.46883503737059634,0.32240758717526846,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,2,2019-04,0.49839384394416186,0.8547060578458348,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,3,2019-05,0.5572814349388656,0.5305052229693098,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,4,2019-06,0.21311196573064628,-0.743497848751809,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,5,2019-07,0.03582320745830095,-0.2134472528632681,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,6,2019-08,0.051817517047581765,0.1067805760830137,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,7,2019-09,0.2657882290632185,0.10666667678024463,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,8,2019-10,0.32844253937845336,-0.32034197175377005,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,9,2019-11,-0.0877104355090993,-0.3213714603095783,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,10,2019-12,0.37835417033258034,0.10723861617524968,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,11,2020-01,-0.00047589595912503335,0.32102756302481894,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,ppi,12,2020-02,-0.28057237827797754,-0.8583743691391442,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,1,2019-03,0.5100496111137243,-0.1906578270581754,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,2,2019-04,-0.12244232552315429,0.003894611805065367,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,3,2019-05,0.14499332512038832,0.3615375096691467,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,4,2019-06,-0.09842273959065054,-0.6462435384516728,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,5,2019-07,-0.14377914665786445,-0.2072134452703466,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,6,2019-08,-0.1345286815594382,0.9775553475891324,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,7,2019-09,-0.07330522209398023,0.2516016733025339,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,8,2019-10,-0.08585524150487138,-0.6515944397665788,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,9,2019-11,-0.11247044629004051,-0.6597849384911771,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,10,2019-12,0.3383352760627157,-0.1254213537462003,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,11,2020-01,-0.10460380357324067,-1.1160962187241923,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,fx,12,2020-02,-0.010220846819894672,-0.656522799781479,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,1,2019-03,7.108640412579993,3.9502115081287545,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,2,2019-04,6.310363177205648,6.638927762779905,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,3,2019-05,3.1042496015618797,-1.8678946068724782,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,4,2019-06,-2.8029146716982916,-10.907737144213272,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,5,2019-07,-3.59499219135933,1.849572373485175,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,6,2019-08,-0.7273194529691881,-7.6226573130549635,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,7,2019-09,1.9463494807693174,4.574816004819261,14
