origin,model,variable,shock,h,core_cumulative_log_response
2019-02,JOINT_DOMESTIC_R22,ulc,2.0,3,0.028208341440118134
2019-02,JOINT_DOMESTIC_R22,ulc,2.0,6,0.06603876953481436
2019-02,JOINT_DOMESTIC_R22,ulc,2.0,12,0.1259662022552097
2019-02,JOINT_DOMESTIC_R22,unemployment,0.5,3,-0.013054058938802848
2019-02,JOINT_DOMESTIC_R22,unemployment,0.5,6,-0.03300502324726237
2019-02,JOINT_DOMESTIC_R22,unemployment,0.5,12,-0.07202897442695888
2019-02,JOINT_IMPORTED_R22,fx,4.8790164169432,3,0.30220583375484283
2019-02,JOINT_IMPORTED_R22,fx,4.8790164169432,6,0.4256060125280178
2019-02,JOINT_IMPORTED_R22,fx,4.8790164169432,12,0.47711365621150614
2019-02,JOINT_IMPORTED_R22,brent,18.232155679395465,3,-0.022267729863122532
2019-02,JOINT_IMPORTED_R22,brent,18.232155679395465,6,-0.025480066852384242
2019-02,JOINT_IMPORTED_R22,brent,18.232155679395465,12,-0.021032091354144133
2019-02,JOINT_LINEAR_R22,ulc,2.0,3,0.02179320391824069
2019-02,JOINT_LINEAR_R22,ulc,2.0,6,0.05555810896803626
2019-02,JOINT_LINEAR_R22,ulc,2.0,12,0.11313190826952252
2019-02,JOINT_LINEAR_R22,unemployment,0.5,3,-0.011605804807495401
2019-02,JOINT_LINEAR_R22,unemployment,0.5,6,-0.03083850306406083
2019-02,JOINT_LINEAR_R22,unemployment,0.5,12,-0.07065912878206482
2019-02,JOINT_LINEAR_R22,fx,4.8790164169432,3,0.2849418210113596
2019-02,JOINT_LINEAR_R22,fx,4.8790164169432,6,0.37188125315606846
2019-02,JOINT_LINEAR_R22,fx,4.8790164169432,12,0.3753188334847354
2019-02,JOINT_LINEAR_R22,brent,18.232155679395465,3,-0.025283731180390512
2019-02,JOINT_LINEAR_R22,brent,18.232155679395465,6,-0.028658735746704966
2019-02,JOINT_LINEAR_R22,brent,18.232155679395465,12,-0.027078538750515524
2019-02,JOINT_ENET_R22,ulc,2.0,3,0.006105083722430127
2019-02,JOINT_ENET_R22,ulc,2.0,6,-0.0006037622299439882
2019-02,JOINT_ENET_R22,ulc,2.0,12,0.11470647679202448
2019-02,JOINT_ENET_R22,unemployment,0.5,3,-0.023465353113194476
2019-02,JOINT_ENET_R22,unemployment,0.5,6,-0.08301588498446555
2019-02,JOINT_ENET_R22,unemployment,0.5,12,-0.24814361845427496
2019-02,JOINT_ENET_R22,fx,4.8790164169432,3,-0.13221142818044765
2019-02,JOINT_ENET_R22,fx,4.8790164169432,6,-0.7100073982381805
2019-02,JOINT_ENET_R22,fx,4.8790164169432,12,0.3128092977274426
2019-02,JOINT_ENET_R22,brent,18.232155679395465,3,-0.10313115111050153
2019-02,JOINT_ENET_R22,brent,18.232155679395465,6,-0.17763882907915937
2019-02,JOINT_ENET_R22,brent,18.232155679395465,12,-0.06422445217433995
2019-02,JOINT_RF_R22,ulc,2.0,3,0.02331245267613502
2019-02,JOINT_RF_R22,ulc,2.0,6,0.05963372339143322
2019-02,JOINT_RF_R22,ulc,2.0,12,0.11203066351090077
2019-02,JOINT_RF_R22,unemployment,0.5,3,-0.012040578747610386
2019-02,JOINT_RF_R22,unemployment,0.5,6,-0.03142235550244393
2019-02,JOINT_RF_R22,unemployment,0.5,12,-0.08232669644732621
2019-02,JOINT_RF_R22,fx,4.8790164169432,3,0.2854633361667473
2019-02,JOINT_RF_R22,fx,4.8790164169432,6,0.37592786551986107
2019-02,JOINT_RF_R22,fx,4.8790164169432,12,0.28360775503272284
2019-02,JOINT_RF_R22,brent,18.232155679395465,3,-0.025889714780737705
2019-02,JOINT_RF_R22,brent,18.232155679395465,6,-0.03183978019053654
2019-02,JOINT_RF_R22,brent,18.232155679395465,12,0.007103059287904195
