period,exp12,exp36,household_exp,esi,eurczk_mm,services_l1,import_l2,core_l1,core_l2,core_l12,state,eurczk_mm_x_state,exp12_x_state,import_l2_x_state,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
2007-01,3.0583333333333336,2.583333333333333,28.2,115.6,0.2304064513806381,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02,3.03,2.56,21.9,117.2,1.400811752451414,,,0.3,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03,3.1846153846153844,2.533333333333333,23.0,115.3,-0.6234281463639357,,,0.2,0.3,,0.0,-0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04,3.1,2.516666666666667,47.1,115.1,-0.1603992158260458,,,0.0,0.2,,0.0,-0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05,3.161538461538462,2.5083333333333333,43.1,117.5,0.7890039271688742,,,0.1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,3.2181818181818183,2.46,34.1,116.2,1.112252488399279,,,0.1,0.1,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07,3.091666666666667,2.458333333333333,41.0,114.4,-0.7531967069539403,,,0.1,0.1,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-08,3.641666666666667,2.525,49.5,115.5,-1.6660783621602504,,,0.4,0.1,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-09,4.18,2.45,53.7,114.8,-1.0230454447555437,,,0.1,0.4,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-10,4.34,2.48,47.2,116.2,-0.8595365031008662,,,-0.6,0.1,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-11,4.316666666666666,2.5916666666666663,60.1,115.5,-2.213198712320741,,,0.2,-0.6,,1.0,-2.213198712320741,4.316666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
