period,eurczk
1999-01,35.638
1999-02,37.715
1999-03,37.989
1999-04,37.997
1999-05,37.692
1999-06,37.152
1999-07,36.521
1999-08,36.415
1999-09,36.356
1999-10,36.587
1999-11,36.403
1999-12,36.054
2000-01,36.025
2000-02,35.709
2000-03,35.595
2000-04,36.31
2000-05,36.555
2000-06,36.017
2000-07,35.619
2000-08,35.356
2000-09,35.425
2000-10,35.275
2000-11,34.617
2000-12,34.817
2001-01,35.139
2001-02,34.64
2001-03,34.601
2001-04,34.55
2001-05,34.382
2001-06,33.975
2001-07,33.855
2001-08,34.034
2001-09,34.188
2001-10,33.562
2001-11,33.325
2001-12,32.592
2002-01,32.078
2002-02,31.789
2002-03,31.388
2002-04,30.356
2002-05,30.558
2002-06,30.295
2002-07,29.749
2002-08,30.796
2002-09,30.193
2002-10,30.653
2002-11,30.756
2002-12,31.192
2003-01,31.49
2003-02,31.645
2003-03,31.758
2003-04,31.625
2003-05,31.391
2003-06,31.41
2003-07,31.877
2003-08,32.289
2003-09,32.354
2003-10,31.985
2003-11,31.974
2003-12,32.313
2004-01,32.723
2004-02,32.857
2004-03,32.984
2004-04,32.514
2004-05,31.974
2004-06,31.614
2004-07,31.521
2004-08,31.634
2004-09,31.6
2004-10,31.484
2004-11,31.287
2004-12,30.647
2005-01,30.31
2005-02,29.961
2005-03,29.782
2005-04,30.13
2005-05,30.216
2005-06,30.032
2005-07,30.191
2005-08,29.592
2005-09,29.305
2005-10,29.677
2005-11,29.261
2005-12,28.975
2006-01,28.721
2006-02,28.409
2006-03,28.65
2006-04,28.508
2006-05,28.271
2006-06,28.385
2006-07,28.445
2006-08,28.193
2006-09,28.38
2006-10,28.29
2006-11,28.03
2006-12,27.777
2007-01,27.841
2007-02,28.231
2007-03,28.055
2007-04,28.01
2007-05,28.231
2007-06,28.545
2007-07,28.33
2007-08,27.858
2007-09,27.573
2007-10,27.336
2007-11,26.731
2007-12,26.3
2008-01,26.051
2008-02,25.376
2008-03,25.221
2008-04,25.067
2008-05,25.098
2008-06,24.314
2008-07,23.529
2008-08,24.286
2008-09,24.497
