model,target,h,mm_pct,yoy_pct
TARGET_ML,2026-07,0,0.44767252748945857,1.541593368596006
TARGET_ML,2026-08,1,-0.13844711691830036,1.336094538875017
TARGET_ML,2026-09,2,-0.34762232395214787,1.5690526674057947
TARGET_ML,2026-10,3,0.15139944445370926,1.201506302826672
TARGET_ML,2026-11,4,-0.010383664140792809,1.5161617532370495
TARGET_ML,2026-12,5,0.012289835142220179,1.7903096693812934
TARGET_ML,2027-01,6,1.2234084886976553,2.1797340112886334
TARGET_ML,2027-02,7,0.13514473112581452,2.3832451420078606
TARGET_ML,2027-03,8,-0.011465923409408468,1.7857821472256932
TARGET_ML,2027-04,9,0.16226294379443665,1.4992613617552033
TARGET_ML,2027-05,10,0.17079914977069816,1.4799378109612746
TARGET_ML,2027-06,11,0.1349124718900361,1.9388267733175746
TARGET_ML,2027-07,12,0.33171924332859093,1.8211521527867987
TARGET_FX_ML,2026-07,0,0.44767252748945857,1.541593368596006
TARGET_FX_ML,2026-08,1,-0.12179887554402485,1.3529886058417588
TARGET_FX_ML,2026-09,2,-0.3296762783441828,1.6042798338145883
TARGET_FX_ML,2026-10,3,0.16764347883711012,1.253026042454451
TARGET_FX_ML,2026-11,4,0.0034558476532546845,1.5818996310589202
TARGET_FX_ML,2026-12,5,0.022508190068394912,1.8666318262424086
TARGET_FX_ML,2027-01,6,1.2311715206419194,2.2641904079075146
TARGET_FX_ML,2027-02,7,0.14050267709742761,2.473352513662542
TARGET_FX_ML,2027-03,8,-0.007177982513283887,1.8797325487254695
TARGET_FX_ML,2027-04,9,0.16618866686284062,1.5969290953767208
TARGET_FX_ML,2027-05,10,0.17424161194561438,1.5810777582218585
TARGET_FX_ML,2027-06,11,0.14042840862082626,2.0460449740482627
TARGET_FX_ML,2027-07,12,0.33761628487403517,1.9342374627240482
TARGET_U_FX_ML,2026-07,0,0.44767252748945857,1.541593368596006
TARGET_U_FX_ML,2026-08,1,-0.11296222333166092,1.3619557388188286
TARGET_U_FX_ML,2026-09,2,-0.31742523508497,1.625759061280722
TARGET_U_FX_ML,2026-10,3,0.18187960231292666,1.2888244379960925
TARGET_U_FX_ML,2026-11,4,0.018764250585138226,1.6333698280071272
TARGET_U_FX_ML,2026-12,5,0.03849086838290225,1.9345318930604805
TARGET_U_FX_ML,2027-01,6,1.2473797583681756,2.3487400203056015
TARGET_U_FX_ML,2027-02,7,0.15676963208914757,2.57473472496891
TARGET_U_FX_ML,2027-03,8,0.008895980946343057,1.9969209504027752
TARGET_U_FX_ML,2027-04,9,0.18194121123558574,1.7297881257734447
TARGET_U_FX_ML,2027-05,10,0.18967194089401987,1.7295835522544383
TARGET_U_FX_ML,2027-06,11,0.15521077102967773,2.210316208622689
TARGET_U_FX_ML,2027-07,12,0.3519695591934745,2.1129338561449913
BVAR_U_FX,2026-07,0,0.44767252748945857,1.541593368596006
BVAR_U_FX,2026-08,1,-0.2794964153296443,1.1929625263457435
BVAR_U_FX,2026-09,2,-0.46783292755926315,1.3032419830027056
BVAR_U_FX,2026-10,3,0.0010110321589022198,0.7850899392554114
BVAR_U_FX,2026-11,4,-0.15564204662869754,0.951581444462264
BVAR_U_FX,2026-12,5,-0.14810146181106812,1.0618698278500331
BVAR_U_FX,2027-01,6,1.065393880193347,1.2901413419335663
BVAR_U_FX,2027-02,7,-0.005825197820474389,1.3490007357068001
BVAR_U_FX,2027-03,8,-0.15133044748574737,0.616632870169384
BVAR_U_FX,2027-04,9,0.030522871242783925,0.20143800123608907
BVAR_U_FX,2027-05,10,0.0092197020059499,0.020763433263585714
BVAR_U_FX,2027-06,11,-0.08561349399174255,0.25178340556611745
BVAR_U_FX,2027-07,12,0.15375648665923772,-0.04155945169788733
RF_U_FX,2026-07,0,0.44767252748945857,1.541593368596006
RF_U_FX,2026-08,1,0.11058735264885611,1.5888062164216554
RF_U_FX,2026-09,2,-0.20218634180405856,1.9709482000986995
RF_U_FX,2026-10,3,0.28825549777522985,1.7407857175161776
RF_U_FX,2026-11,4,0.12869377521816788,2.1990710602186105
RF_U_FX,2026-12,5,0.14688933226131184,2.6129771669702424
RF_U_FX,2027-01,6,1.1908871414201427,2.972454911136796
RF_U_FX,2027-02,7,0.2090425589725672,3.253687963340568
RF_U_FX,2027-03,8,0.1864154889862323,2.8542962817180357
RF_U_FX,2027-04,9,0.28667185291860664,2.69216069095959
RF_U_FX,2027-05,10,0.19830094488791863,2.7007986994177005
RF_U_FX,2027-06,11,0.08148869578123943,3.1101678613697343
RF_U_FX,2027-07,12,0.3003826277064306,2.958973852501524
NAIVE,2026-07,0,0.44767252748945857,1.541593368596006
NAIVE,2026-08,1,0.33094280231949824,1.8124154036944045
NAIVE,2026-09,2,-0.1472828706596463,2.2516210232112366
NAIVE,2026-10,3,0.09803670413460974,1.8273200295492749
NAIVE,2026-11,4,0.23073391349818895,2.3902337832195055
NAIVE,2026-12,5,-0.1007038958122286,2.5507494340976
NAIVE,2027-01,6,2.8193305106029327,4.566118013232182
NAIVE,2027-02,7,0.45935867515890294,5.113616797952984
NAIVE,2027-03,8,0.5146429716743395,5.050068571847053
NAIVE,2027-04,9,0.5139306130685739,5.122149443899332
NAIVE,2027-05,10,0.5483043792026132,5.498225706028548
NAIVE,2027-06,11,0.31937931631266014,6.170511115405919
NAIVE,2027-07,12,0.7920711437007322,6.534531268292812
BRIDGE_HARD,2026-07,0,0.44767252748945857,1.541593368596006
BRIDGE_HARD,2026-08,1,0.10510147545126715,1.583239335532327
