model,h,omitted_year,n,rmse_delta,mae_delta
ANCHOR_HL12_R21,1,2019,78,0.004826032131100666,0.00023608253380658084
ANCHOR_HL12_R21,1,2020,76,0.005082353034176479,0.0007489740239683407
ANCHOR_HL12_R21,1,2021,76,0.004597234297535779,0.0005990997889975258
ANCHOR_HL12_R21,1,2022,76,-0.0018881898610083603,-0.002580176580083249
ANCHOR_HL12_R21,1,2023,76,0.005714747004811671,0.0007944849902935536
ANCHOR_HL12_R21,1,2024,76,0.004807570897598201,-9.463207536075657e-05
ANCHOR_HL12_R21,1,2025,76,0.004820457735378536,0.00015635960161786144
ANCHOR_HL12_R21,1,2026,82,0.004688047738987788,0.00023450588193485444
ANCHOR_HL24_R21,1,2019,78,0.0023777596184991756,0.00012153287927429979
ANCHOR_HL24_R21,1,2020,76,0.00250981584801091,0.0003806724263163419
ANCHOR_HL24_R21,1,2021,76,0.002270566809677854,0.0003036326164340686
ANCHOR_HL24_R21,1,2022,76,-0.0010330351796811188,-0.0013322469290563688
ANCHOR_HL24_R21,1,2023,76,0.00284425238703212,0.0004041097238021707
ANCHOR_HL24_R21,1,2024,76,0.0023664247144091766,-5.3337181763146724e-05
ANCHOR_HL24_R21,1,2025,76,0.002373830927106746,7.578422505194471e-05
ANCHOR_HL24_R21,1,2026,82,0.00230966382126363,0.00011632890577806254
CORE_FEEDBACK_R21,1,2019,78,-0.004311572207648773,0.0011139637217544296
CORE_FEEDBACK_R21,1,2020,76,-0.004703622016329123,0.0004308448959089439
CORE_FEEDBACK_R21,1,2021,76,-0.004552085844391152,0.00010533109657084871
CORE_FEEDBACK_R21,1,2022,76,0.0005795183465645559,0.00410164748181735
CORE_FEEDBACK_R21,1,2023,76,-0.003485497620133171,0.001736795586057882
CORE_FEEDBACK_R21,1,2024,76,-0.00524797493713447,-0.0019323109537955352
CORE_FEEDBACK_R21,1,2025,76,-0.004238433087262128,0.001362994134134543
CORE_FEEDBACK_R21,1,2026,82,-0.004253818793674702,0.000977220140102597
DUAL_FEEDBACK_R21,1,2019,78,-0.006097573707952941,0.002120884725614891
DUAL_FEEDBACK_R21,1,2020,76,-0.006270852238407176,0.0016873634083206523
DUAL_FEEDBACK_R21,1,2021,76,-0.00655645774555258,0.000902509300440113
DUAL_FEEDBACK_R21,1,2022,76,0.0037037095791378483,0.005550525090541492
DUAL_FEEDBACK_R21,1,2023,76,-0.007251634395700424,0.0012033850893432563
DUAL_FEEDBACK_R21,1,2024,76,-0.007266699242934216,-0.0015823340736557112
DUAL_FEEDBACK_R21,1,2025,76,-0.005895072158763615,0.0026261742549628098
DUAL_FEEDBACK_R21,1,2026,82,-0.005774061754438842,0.0024770085155054744
FOOD_FEEDBACK_R21,1,2019,78,-0.0021886959360670755,0.0007662778241049883
FOOD_FEEDBACK_R21,1,2020,76,-0.0019669080538912143,0.0010095426173998279
FOOD_FEEDBACK_R21,1,2021,76,-0.0024312425972097262,0.0005502023088574948
FOOD_FEEDBACK_R21,1,2022,76,0.0031890066203679734,0.0012019017137121502
FOOD_FEEDBACK_R21,1,2023,76,-0.004298493499540479,-0.0007803863917263953
FOOD_FEEDBACK_R21,1,2024,76,-0.002357500128296719,0.0003499768801394909
FOOD_FEEDBACK_R21,1,2025,76,-0.002041592662416325,0.001016204225816164
FOOD_FEEDBACK_R21,1,2026,82,-0.0019149570845109487,0.0012708838873428663
POOL_COMPLETE_R21,1,2019,78,0.009370251442957223,0.0046452649916491895
POOL_COMPLETE_R21,1,2020,76,0.010003550619245627,0.0054901156712791055
POOL_COMPLETE_R21,1,2021,76,0.006222885444219339,0.0025909587165879877
POOL_COMPLETE_R21,1,2022,76,0.002284392821343628,-0.002277978925572799
POOL_COMPLETE_R21,1,2023,76,0.009328584427092945,0.003610338824596493
POOL_COMPLETE_R21,1,2024,76,0.008801706739253068,0.0028849961679482394
POOL_COMPLETE_R21,1,2025,76,0.00895795978278846,0.0037165923078132934
POOL_COMPLETE_R21,1,2026,82,0.00858209453801051,0.0033718658459986894
POOL_PARTIAL_R21,1,2019,78,0.004141024404644256,0.0019633634602527206
POOL_PARTIAL_R21,1,2020,76,0.004616983514697526,0.002360463323244799
POOL_PARTIAL_R21,1,2021,76,0.0008287844019321255,-0.00016277785205376372
POOL_PARTIAL_R21,1,2022,76,0.0023591767887802817,-0.001999702751362631
POOL_PARTIAL_R21,1,2023,76,0.0038581257160947846,0.0008527432066616769
POOL_PARTIAL_R21,1,2024,76,0.0035110122860066983,0.00017964863029673594
POOL_PARTIAL_R21,1,2025,76,0.003699901564568675,0.0009721126643095213
POOL_PARTIAL_R21,1,2026,82,0.0035167526363336643,0.0008672656565442693
POOL_PRIOR_R21,1,2019,78,0.0006228011666162825,-0.0005261227341497587
POOL_PRIOR_R21,1,2020,76,0.0006733746501693672,-0.0006434515192232926
POOL_PRIOR_R21,1,2021,76,-0.0007960141339730109,-0.001565656046508046
POOL_PRIOR_R21,1,2022,76,0.00020132494084473818,-0.0034207066993572344
POOL_PRIOR_R21,1,2023,76,-0.0007612026935722715,-0.0018252551076102796
POOL_PRIOR_R21,1,2024,76,0.00022099537038611228,-0.0018741139445276334
POOL_PRIOR_R21,1,2025,76,0.00013295526840118033,-0.0015546024519662582
POOL_PRIOR_R21,1,2026,82,0.00023241046766364626,-0.001212280583925085
ANCHOR_HL12_R21,2,2019,77,0.01677228656172125,0.007581035916000567
ANCHOR_HL12_R21,2,2020,74,0.0180713776092174,0.010059841255873447
ANCHOR_HL12_R21,2,2021,74,0.015514755551989001,0.004284700975337619
ANCHOR_HL12_R21,2,2022,74,-0.006071855920733782,-0.0027274124909813513
ANCHOR_HL12_R21,2,2023,74,0.02078051544866444,0.01059177233019204
