sample,full,origins_2024plus,full,origins_2024plus,full,origins_2024plus
h,3,3,6,6,12,12
model,,,,,,
ANCHOR_HL12_R21,1.50058514506872,0.5110976915050679,2.457462454764181,0.5102692232298529,5.185576109058378,0.7515112019301043
ANCHOR_HL24_R21,1.4798345574004212,0.5142142352993633,2.3756994734481847,0.5217001337000337,5.0256388543109,0.796276569865539
CORE_FEEDBACK_R21,1.4336305286229916,0.5320666159421003,2.223374524632341,0.5488817291729015,4.810479827390977,0.8003624311884685
DAMPED_P95_Q001_R16,1.4387260776011894,0.5138610726515732,2.239464689623496,0.5159368686757626,4.810145946520235,0.7158989707447333
DUAL_FEEDBACK_R21,1.4329587911234738,0.5296434460766835,2.2355760991741858,0.54538291440143,4.859127457994827,0.7696300781325116
FOOD_FEEDBACK_R21,1.456786102304338,0.5121926258815969,2.298837500345841,0.5219306195794813,4.913888945585669,0.8100588989523856
POOL_COMPLETE_R21,1.5099115854039866,0.5158626736226123,2.4902264955905875,0.52028159164537,5.155070743352616,0.7441318949313791
POOL_PARTIAL_R21,1.4967496797110311,0.5150723781948701,2.4629927399534712,0.5185445569334185,5.125447628503589,0.7422080237816328
POOL_PRIOR_R21,1.4688869797237214,0.5034274980867437,2.3531911042551927,0.5039832363106423,4.966082867838603,0.7402506150078987
STABLE_LOCAL_CORE_R14B,1.537322537940186,0.4715928235679361,2.624251525066841,0.4667346496225408,5.397208838300782,0.7076852773291331
STATE_FAST_R15,1.4591809877871644,0.517777318612281,2.290294341334928,0.5357843828577382,4.869472205001029,0.8579638828422467
