model,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
ANCHOR_HL12_R21,1,full,88,12,2000,1509,77,88,0.007615372836246187,-0.004104584256756894,0.02828919666348369,0.1685,ok
ANCHOR_HL12_R21,1,origins_2024plus,30,12,2000,1509,19,30,-0.0006812834095757786,-0.0011048545573284806,-0.0001865737813710808,0.999,ok
ANCHOR_HL24_R21,1,full,88,12,2000,1509,77,88,0.0037429167619295986,-0.0021784121064934137,0.014166866331912834,0.1745,ok
ANCHOR_HL24_R21,1,origins_2024plus,30,12,2000,1509,19,30,-0.00035521179873025747,-0.0005726969741164752,-9.957967627948566e-05,0.999,ok
CORE_FEEDBACK_R21,1,full,88,12,2000,1509,77,88,-0.006890166031462619,-0.025288997822241133,0.0039127665445805575,0.8395,ok
CORE_FEEDBACK_R21,1,origins_2024plus,30,12,2000,1509,19,30,0.003937989269198172,-0.002094057295166149,0.006503702796619161,0.327,ok
DUAL_FEEDBACK_R21,1,full,88,12,2000,1509,77,88,-0.009734657037105337,-0.03809957409588539,0.008382105156298336,0.7735,ok
DUAL_FEEDBACK_R21,1,origins_2024plus,30,12,2000,1509,19,30,0.003220473766180691,-0.003970505430626869,0.009159687496507288,0.3695,ok
FOOD_FEEDBACK_R21,1,full,88,12,2000,1509,77,88,-0.003501793354898636,-0.017810411121773635,0.008066261845860572,0.7035,ok
FOOD_FEEDBACK_R21,1,origins_2024plus,30,12,2000,1509,19,30,-0.001106971577614223,-0.0028621813006809776,0.002527784438975716,0.6195,ok
POOL_COMPLETE_R21,1,full,88,12,2000,1509,77,88,0.014198930564173524,-0.006055374758055819,0.051680518939043976,0.135,ok
POOL_COMPLETE_R21,1,origins_2024plus,30,12,2000,1509,19,30,0.00011964879530243035,-0.0013282457531314802,0.0009079454038826095,0.7335,ok
POOL_PARTIAL_R21,1,full,88,12,2000,1509,77,88,0.0057596850304824955,-0.007472893122021613,0.02770774176397733,0.233,ok
POOL_PARTIAL_R21,1,origins_2024plus,30,12,2000,1509,19,30,-1.3707729809463425e-05,-0.0013553090448091736,0.0008259064460067511,0.751,ok
POOL_PRIOR_R21,1,full,88,12,2000,1509,77,88,0.00010904005553839234,-0.010242840674289646,0.01236819161038438,0.4505,ok
POOL_PRIOR_R21,1,origins_2024plus,30,12,2000,1509,19,30,-0.0018122593096791281,-0.0019039582650877897,-0.0003760833570396135,0.9995,ok
ANCHOR_HL12_R21,2,full,86,12,2000,1509,75,86,0.038824766139896376,-0.013434345257914152,0.13323304175324166,0.1205,ok
ANCHOR_HL12_R21,2,origins_2024plus,29,12,2000,1509,18,29,-0.003786827173614016,-0.004897883100541374,-0.0012372495262348005,1.0,ok
ANCHOR_HL24_R21,2,full,86,12,2000,1509,75,86,0.019064924237190927,-0.007518794292714875,0.06658789054692754,0.129,ok
ANCHOR_HL24_R21,2,origins_2024plus,29,12,2000,1509,18,29,-0.001992382652941365,-0.00257123721780853,-0.0006581350493745461,1.0,ok
CORE_FEEDBACK_R21,2,full,86,12,2000,1509,75,86,-0.027241450517713848,-0.09147711719649165,0.008508015758086114,0.879,ok
CORE_FEEDBACK_R21,2,origins_2024plus,29,12,2000,1509,18,29,0.010808207445093629,-0.005544319199070277,0.01708007863423363,0.347,ok
DUAL_FEEDBACK_R21,2,full,86,12,2000,1509,75,86,-0.033823064981722877,-0.12675149947736777,0.024466932811667858,0.808,ok
DUAL_FEEDBACK_R21,2,origins_2024plus,29,12,2000,1509,18,29,0.009288368250917868,-0.009444629506040548,0.02462026018305677,0.3735,ok
FOOD_FEEDBACK_R21,2,full,86,12,2000,1509,75,86,-0.009010372419401256,-0.049243283581295344,0.025337177004886302,0.678,ok
FOOD_FEEDBACK_R21,2,origins_2024plus,29,12,2000,1509,18,29,-0.0029943346398655585,-0.006494730391007806,0.0056973863547706135,0.59,ok
